              |Accel. |Pressure|          |Part- |          |  Mean   |
   Altitude   |due to | scale  | Number   | icle |Collision |  free   |Molecular
              |gravity| height | density  |speed |frequency |  path   | weight
-------+------+-------+--------+----------+------+----------+---------+---------
   Z   |   H  |   g   |  H_P   |    n     |  V   |    nu    |    L    |    M
  (m)  |  (m) |(m/s^2)|  (m)   | (1/m^3)  |(m/s) |   (1/s)  |   (m)   |(kg/kmol)
-------+------+-------+--------+----------+------+----------+---------+---------
  42000  41724  9.6783    7589  6.2266e+22  432.5 1.5939e+07 2.7133e-5  28.964
  42500  42218  9.6768    7631  5.7993e+22  433.6 1.4886e+07 2.9132e-5  28.964
  43000  42711  9.6753    7674  5.4035e+22  434.8 1.3907e+07 3.1266e-5  28.964
  43500  43204  9.6738    7716  5.0367e+22  436.0 1.2997e+07 3.3543e-5  28.964
  44000  43698  9.6723    7758  4.6965e+22  437.1 1.2152e+07 3.5973e-5  28.964
  44500  44191  9.6708    7800  4.3810e+22  438.3 1.1365e+07 3.8563e-5  28.964

  45000  44684  9.6693    7842  4.0882e+22  439.4 1.0633e+07 4.1325e-5  28.964
  45500  45177  9.6678    7884  3.8164e+22  440.6 9.9524e+06 4.4268e-5  28.964
  46000  45670  9.6662    7927  3.5640e+22  441.7 9.3182e+06 4.7404e-5  28.964
  46500  46162  9.6647    7969  3.3295e+22  442.9 8.7275e+06 5.0743e-5  28.964
  47000  46655  9.6632    8011  3.1115e+22  444.0 8.1771e+06 5.4297e-5  28.964
  47500  47148  9.6617    8041  2.9133e+22  444.8 7.6698e+06 5.7992e-5  28.964
  48000  47640  9.6602    8042  2.7376e+22  444.8 7.2074e+06 6.1713e-5  28.964
  48500  48133  9.6587    8044  2.5726e+22  444.8 6.7730e+06 6.5671e-5  28.964
  49000  48625  9.6572    8045  2.4176e+22  444.8 6.3649e+06 6.9882e-5  28.964
  49500  49118  9.6557    8046  2.2719e+22  444.8 5.9813e+06 7.4363e-5  28.964

  50000  49610  9.6542    8047  2.1350e+22  444.8 5.6210e+06 7.9130e-5  28.964
  50500  50102  9.6527    8049  2.0064e+22  444.8 5.2824e+06 8.4202e-5  28.964
  51000  50594  9.6512    8050  1.8856e+22  444.8 4.9643e+06 8.9599e-5  28.964
  51500  51086  9.6497    8044  1.7736e+22  444.6 4.6674e+06 9.5255e-5  28.964
  52000  51578  9.6482    8004  1.6750e+22  443.5 4.3966e+06 1.0086e-4  28.964
  52500  52070  9.6467    7965  1.5814e+22  442.3 4.1404e+06 1.0683e-4  28.964
  53000  52562  9.6451    7925  1.4926e+22  441.2 3.8979e+06 1.1319e-4  28.964
  53500  53053  9.6436    7885  1.4084e+22  440.0 3.6684e+06 1.1995e-4  28.964
  54000  53545  9.6421    7845  1.3286e+22  438.9 3.4515e+06 1.2716e-4  28.964
  54500  54037  9.6406    7806  1.2529e+22  437.7 3.2463e+06 1.3484e-4  28.964

  55000  54528  9.6391    7766  1.1812e+22  436.6 3.0524e+06 1.4303e-4  28.964
  55500  55020  9.6376    7726  1.1132e+22  435.4 2.8692e+06 1.5177e-4  28.964
  56000  55511  9.6361    7686  1.0488e+22  434.3 2.6961e+06 1.6108e-4  28.964
  56500  56002  9.6346    7646  9.8788e+21  433.1 2.5326e+06 1.7102e-4  28.964
  57000  56493  9.6331    7607  9.3017e+21  432.0 2.3783e+06 1.8163e-4  28.964
  57500  56985  9.6316    7567  8.7556e+21  430.8 2.2326e+06 1.9296e-4  28.964
  58000  57476  9.6301    7527  8.2390e+21  429.6 2.0952e+06 2.0506e-4  28.964
  58500  57967  9.6286    7487  7.7503e+21  428.5 1.9655e+06 2.1799e-4  28.964
  59000  58457  9.6271    7447  7.2882e+21  427.3 1.8433e+06 2.3181e-4  28.964
  59500  58948  9.6256    7408  6.8515e+21  426.1 1.7280e+06 2.4659e-4  28.964

  60000  59439  9.6241    7368  6.4387e+21  424.9 1.6194e+06 2.6239e-4  28.964
  60500  59930  9.6226    7328  6.0488e+21  423.7 1.5171e+06 2.7931e-4  28.964
  61000  60420  9.6211    7288  5.6805e+21  422.6 1.4208e+06 2.9741e-4  28.964
  61500  60911  9.6196    7248  5.3329e+21  421.4 1.3301e+06 3.1680e-4  28.964
  62000  61401  9.6181    7208  5.0048e+21  420.2 1.2447e+06 3.3757e-4  28.964
  62500  61891  9.6166    7169  4.6952e+21  419.0 1.1644e+06 3.5983e-4  28.964
  63000  62382  9.6151    7129  4.4032e+21  417.8 1.0888e+06 3.8369e-4  28.964
  63500  62872  9.6136    7089  4.1278e+21  416.6 1.0178e+06 4.0929e-4  28.964
  64000  63362  9.6121    7049  3.8683e+21  415.4 9.5107e+05 4.3675e-4  28.964
  64500  63852  9.6106    7009  3.6237e+21  414.2 8.8835e+05 4.6622e-4  28.964

